"","taxon","(Intercept)","diseaseMS","sexM","age","bmi"
"34","Anaerovorax odorimutans",0.40715594554637,0.053989859301279,0.430753300625249,0.537111159325849,0.146344699312548
"35","Lactobacillus jensenii",0,0.426041482768491,0,0,0.127932184829688
"36","Brenneria goodwinii",0.181026483919042,0.119967451973189,0.322321560942195,0.0585770273605249,0.364173289654495
"37","Atopobium sp. BV3Ac4",0.29387357900359,0.631077788079088,0.049475568546376,0.127832711869202,0.394258592612776
"38","Peptoniphilus sp. BV3C26",0.113952558759718,0,0.067564627695857,0.0256705029558828,0.0982378264003411
"39","Coriobacteriaceae bacterium BV3Ac1",0.313803819619339,0,0.152566538769298,0.0699189157893385,0.1879981857748
"40","Megasphaera sp. BV3C16-1",0.263763451641433,0.187742025297148,0.186788583613418,0.036369137310102,0.29091027334317
"41","Elizabethkingia anophelis",0.0738673897351752,0.0670670288931747,0.238339140107327,0.222036366710744,0.0972035959965227
"42","Actinomyces sp. ph3",0.196280284858595,0.0303196507269691,0.140911386134759,0.152838951644411,0.315377332728282
"43","Alistipes obesi",0.00381914685381181,0.00015682908034657,0.00365584318535781,0.00510949321087856,0.00314933994284936
"44","bacterium MS4",0.133992065091715,0.116905853505643,0.176900565756867,0.0996659957670417,0.211221224813775
"45","Anaerosphaera aminiphila",0.367391502962099,0,0.0560492721538723,0.0821723649741675,0.371396087898545
"46","Bacillus acidiproducens",0.17518442479131,0.075199606680185,0.0675448809512991,0.0578585315878949,0.134785058150573
"47","Clostridium amylolyticum",0.272191584098892,0.0561950368040616,0.395559900366154,0.420256948299261,0.139802735402174
"48","Corynebacterium doosanense",0.302449801532165,0.382285269693382,0.137837246231475,0.537271574500242,0.0892377704020418
"49","Pedobacter glucosidilyticus",0.118103515776066,0.134154319275467,0.379040361343063,0.139220164538195,0.0529510088870347
"50","Microcystis aeruginosa",0.20733235678854,0.11128993353172,0.0498450041044315,0.405089144461493,0.11426129819539
"51","Akkermansia sp. KLE1605",0.0886448570096367,0.0754444169451309,0.132085644030953,0.030056009245573,0
"52","Pseudoramibacter alactolyticus",0.477908721327307,0,0.0951804890765003,0.19556475536594,0.396369374197896
"53","Bacteroides reticulotermitis",0.0530351113423359,0.0897922997492461,0.0746467114452039,0.146193809434142,0.0348974543774015
"54","Gemmata obscuriglobus",0.0499554840758986,0.0273835020115244,0.0739100846720394,0.0705874976431793,0.152652900667337
"55","Pediococcus inopinatus",0.179459101595176,0.0471544158534592,0.430156798648236,0.403360519127024,0.0506053610984732
"56","Alkaliphilus transvaalensis",0.222953965193489,0.12618165008761,0.903127938562413,0.223469194851978,0.161814678051552
"57","Streptococcus orisratti",0.185169781529446,0.296073601460662,0.214449117052965,0.174567402132375,0.135508220040833
"58","Fusicatenibacter saccharivorans",0.0167593724712378,0,0.00491629781875546,0.0127164016554061,0.00472429809592765
"59","Parasporobacterium paucivorans",0.566526018036138,0.142815402221531,0.416323893025675,0.161903731100756,0.494270258528602
"60","Tumebacillus flagellatus",0.201190047756627,0.0886029812269197,0.0749358585091612,0.365949842885648,0.162204915434086
"61","Prevotella sp. 10(H)",0.118163851013223,0.100791378966484,0,0.112135428840066,0.090998002041324
"62","Kosakonia sacchari",0.253744624353779,0.120856553986402,0.215021966219824,0.30971921547764,0.289493422480176
"63","Ruminococcus bicirculans",0.033091559891149,0,0.00823775646750237,0.00765802256784093,0
"64","Ruminococcus champanellensis",0.0273350462691804,0.0863992165851876,0.0788355358393179,0,0
"65","Streptobacillus hongkongensis",0.464957417652958,0.0130039797643689,0.218697620806043,0.629479854258023,0.289692840854593
"66","Draconibacterium orientale",0.409042738924686,0.254572251371386,0.504823050209216,0.281037650151898,0.324114274390433
"67","Peptoniphilus rhinitidis",0.0905047653703932,0,0.159596037324565,0.16232550064365,0.146984489767234
"68","Aphanizomenon flos-aquae",0.185676802907593,0.186232975030199,0.432137885680539,0.225552208712922,0.12883178910751
"69","Myroides injenensis",0.522534133276422,0.0632916934613243,0.12822247213538,0.332430408662218,0.187007281498105
"70","Arthrospira platensis",0.381859696948254,0.0566110735728804,0.254558008046244,0.859688631582825,0.189431392744688
"71","Bulleidia extructa",0.109717883685481,0,0.225710900037176,0.254333705228829,0.10727525382206
"72","Atopobium sp. ICM42b",0.0858561930086369,0.354905219920094,0.23550441134387,0.2561895237453,0.0720763698742771
"73","Lactobacillus hokkaidonensis",0.319020605405698,0.0415798424434453,0.332647786376428,0.573697729537329,0.0954443040092468
"74","Gilliamella apicola",0.239278634088837,0.0710236596983295,0,0.485670891035098,0.257260727258055
"75","Cloacibacillus porcorum",0.0991335310496442,0.0911847118280046,0.192282431547937,0.339640786767545,0
"76","Lysobacter sp. A03",0.545706060743957,0.100072273137977,0.439881669658137,1.22303191748711,0.288516041990528
"77","Lachnospiraceae bacterium G41",0.896586235254613,0.15942344740105,0.751910673507944,0.577532797323097,0.338753690269766
"78","Lactobacillus oryzae",0.386565541734259,0.0435276038684021,0.540012865512954,0.41334493769791,0.175713760609601
"79","Lactobacillus hominis",0.191527730471425,0.21146544242584,0.0561446885474535,0.386146763173767,0.318201495548774
"80","Lactobacillus gigeriorum",0.197429249334571,0.210165861943891,0,0.472391470597195,0.0603033950717832
"81","Corynebacterium sp. KPL1989",0.615014281502869,0,0.0799366401198936,0.985108196936285,0.135789256041947
"82","Corynebacterium sp. KPL1995",0.710217427529616,0,0.0696810722967844,0.965931880588775,0.201309570565271
"83","Actinomyces sp. S4-C9",0.255045015480513,0,0,0.617911854909388,0.0622775385400648
"84","Arcanobacterium sp. S3PF19",0.325062530976873,0.744637191094801,0.448747256226527,0.220750298559042,0.378449682580877
"85","Bacillus thermotolerans",0.391928766568967,0.0997722849446659,0.121468304493333,0.299392470505038,0.187931309477835
"86","Enterobacteriaceae bacterium LSJC7",0.215645489651249,0.148889774766817,0.482291514067739,0.31610889755732,0.350211806806514
"87","Mangrovibacter sp. MFB070",0.118751171549108,0.0670532303377893,0.213688527791048,0.28017662123759,0.16365481521541
"88","Oscillibacter sp. KLE 1745",0.00157351236035185,0.000653347397360547,0,0.00419331296756254,0.00366332592417457
"89","Blautia sp. KLE 1732",0.102276796791547,0,0.0170064440531349,0,0.00410161968498542
"90","Clostridium sp. KLE 1755",0.0270242720483924,0,0.0744651487755141,0.0184483595146174,0.0596248418365246
"91","Capnocytophaga sp. oral taxon 863",0.0494373514952561,0.017606849614558,0.233484645990373,0.130843341135636,0.042702093913657
"92","Clostridiales bacterium S5-A14a",0.0651988493163168,0.067020459665608,0.16370102720491,0.0218430876322031,0.098690017672641
"93","Corynebacterium lactis",0.0783824242777776,0.0653096172958767,0.251588719615848,0.0782698847352913,0
"94","Megasphaera massiliensis",0.380389408094641,0.0369571385738175,0.104048189907996,0.111156272766004,0
"95","Enorma timonensis",0.212240128476725,0.0541855584635285,0.813446343984304,0.140081801119725,0.403363026945426
"96","Clostridiales bacterium VE202-08",0.0782493985677138,0,0.0770856300792521,0.0300536050900317,0.0343760905636726
"97","Eubacterium sp. 14-2",0.00511778527405241,0.0560745919099281,0.0952972428640818,0.150015200578655,0.0773476188166476
"98","Lachnospiraceae bacterium M18-1",0.0612616362548412,0.0419908082673946,0.119210605015705,0.0291705866995797,0.0302569567443374
"99","Lachnospiraceae bacterium COE1",0.107318688259757,0.246144367523741,0.19681162659433,0.0905360179643537,0.0671361210175718
"100","Firmicutes bacterium M10-2",0.0544951580507885,0.314686585084136,0.205007615193174,0.335090479998517,0.0715014578691916
"101","Oscillibacter sp. 1-3",0.0436858966225214,0.00349990209158766,0.126447255839597,0.0608677687672285,0.0748726751666963
"102","Dorea sp. 5-2",0.120631257008606,0,0.0269481032975595,0.136100433455082,0.033167623619216
"103","Lachnospiraceae bacterium 3-2",0.211183835511271,0.0308941839718025,0.0766718741858171,0.158137865609056,0
"104","Lachnospiraceae bacterium 10-1",0.220271553707212,0.0808038471099565,0.0699699322545808,0.144736551488256,0.071316158384933
"105","Anaerotruncus sp. G3(2012)",0.138308827908508,0.018038447808221,0.0539595426886851,0.0240788449023753,0.130438136179405
"106","Piscirickettsia salmonis",0.105506599873189,0.275895421219784,0.112178747928842,0.0843475685641312,0.0460494068480562
"107","Sodalis praecaptivus",0.252446856536392,0.250650866568893,0.50105693361061,0.353780876145244,0.449647230273014
"108","Leuconostoc gelidum",0.111586079733602,0.252278838192873,0.34343933926469,0.213220047645195,0.129541811424298
"109","Leuconostoc mesenteroides",0.283513546429447,0.243287363193401,0.0262622889230758,0,0.0353093522956822
"110","Leuconostoc lactis",0.14802409096503,0.422909224393513,0.045445884767304,0,0.0560720607511848
"111","Oenococcus oeni",0.396066517294438,0.079123331657819,0.225963351867051,0.415840734760773,0.210569642371507
"112","Leuconostoc carnosum",0.11523969834469,0.422803732232629,0.298776287906011,0.291821744077059,0.0648827124903229
"113","Pediococcus acidilactici",0.182113362102598,0.39341747530402,0.242038132212799,0.221248806174821,0.147988759847607
"114","Finegoldia magna",0.0747740109817282,0,0.0796659848415666,0.0605150099465853,0.132929535433898
"115","Peptostreptococcus anaerobius",0.0505710085747351,0.0157877397470106,0.118885032692764,0,0.0470533622534822
"116","Acetobacter sp. CAG:267",0.060809514428732,0.124408036230544,0.0548135284452042,0.124626647999688,0.125625451839028
"117","Acinetobacter sp. CAG:196",0.124816974784773,0.0271810035785458,0.16008360418836,0.0495706631683483,0
"118","Akkermansia sp. CAG:344",0.0501541600358163,0.138461840942783,0.162586268361079,0,0.0417380941548452
"119","Alistipes sp. CAG:435",0.373475043309267,0.122440768765938,0.190473752609291,0.520405902189946,0.0166122048965105
"120","Alistipes sp. CAG:514",0.109083281205916,0.0648102127013063,0,0.235962687313609,0.105830757939047
"121","Anaerostipes sp. CAG:276",0.0625001869570715,0.215592987456811,0.123686888253084,0.0309048877429522,0.0265492679751032
"122","Anaerotruncus sp. CAG:528",0.0850357670209982,0.171948219211842,0,0.0760288823756869,0
"123","Anaerotruncus sp. CAG:390",0.0874181376945818,0.129150246800298,0.145546985175198,0,0
"124","Azospirillum sp. CAG:260",0.0302717709100909,0.114690522470613,0.0200187934469612,0.0199181380652375,0
"125","Bacillus sp. CAG:988",0.0453260739328209,0.119105565676849,0.338106076085457,0.110878044953659,0.0353086359318446
"126","Bacteroides sp. CAG:1060",0.0644950575913029,0.134359658246855,0.00743677875080144,0.134669370235521,0.0531178838803241
"127","Bacteroides sp. CAG:1076",0.0186639362800211,0.12269936435201,0.0851663360542689,0.037913560692109,0.00670595954980176
"128","Bacteroides sp. CAG:530",0.0770896900538884,0.352169909329214,0.0449028917264698,0.112392656218082,0.0577322406156717
"129","Bacteroides sp. CAG:545",0,0.0113855833285253,0,0.267583115934873,0.0406834846148738
"130","Bacteroides sp. CAG:714",0.272884550214782,0.123381318454832,0.116162587604247,0.0703236881510722,0.131935387422014
"131","Bacteroides sp. CAG:770",0.0548041227631577,0.0358254400153315,0.243150368662499,0.223817138726834,0.0542703656963728
"132","Bacteroides sp. CAG:98",0.00612915624244046,0.0256449633401701,0.0492434802121751,0,0.105036693541663
"133","Blautia sp. CAG:237",0.0603335199885157,0.219371167176103,0.0429747435744631,0.202391206158269,0
"134","Blautia sp. CAG:37",0.0268158024533817,0,0.053201848007122,0.0381383686766153,0.00473062302974074
"135","Brachyspira sp. CAG:484",0.146975241755525,0.0268450637730223,0.340214530569493,0.155213720102649,0
"136","Catenibacterium sp. CAG:290",0.149964928993425,0.58613853703931,0.0408272083043968,0.337091011339902,0
"137","Clostridium sp. CAG:1193",0.0217977532626782,0.17127643993198,0.384227966647102,0.0348383351930243,0.152240990914906
"138","Clostridium sp. CAG:122",0,0.0185960021314706,0.0647271110364389,0.071641656541928,0
"139","Clostridium sp. CAG:127",0.0779133971998992,0.0452627353327081,0.00722649928418566,0.0181193193077175,0.15926149157668
"140","Clostridium sp. CAG:138",0.0703913761745558,0.188943542995343,0.115005182334809,0,0
"141","Clostridium sp. CAG:167",0.104866675717941,0.108595030539598,0,0.237134578863344,0
"142","Clostridium sp. CAG:226",0.0365450573333727,0.0735446720154051,0.176931189433161,0,0
"143","Clostridium sp. CAG:230",0.0191707932455952,0.0288427682682745,0.0551656759496473,0.155488234830583,0.250737304133207
"144","Clostridium sp. CAG:242",0.0474878392676556,0.407958656972242,0.212481557280242,0,0.179951322719774
"145","Clostridium sp. CAG:245",0.137107574086542,0.0146712875535499,0.115457888786086,0.0116997080115877,0
"146","Clostridium sp. CAG:264",0.0214587369459605,0.0964910304938245,0,0.00127430280600566,0.0293192149371016
"147","Clostridium sp. CAG:277",0.0949436031097856,0.0128598794205068,0,0.0348531420116234,0.055505242064571
"148","Clostridium sp. CAG:288",0.129460048989178,0.0668314108494501,0.0568612091796621,0,0.104546035323911
"149","Clostridium sp. CAG:299",0.12742719361277,0.0786342314593514,0.0489755511289989,0,0
"150","Clostridium sp. CAG:306",0.271022468040181,0.0386737177252089,0.151268463032228,0.13994873983932,0
"151","Clostridium sp. CAG:307",0.016795103774025,0.00639348589341299,0.0460716527761948,0.0369011821892322,0
"152","Clostridium sp. CAG:349",0.066393055453048,0.137219634465581,0.0962149881883558,0.180531597122512,0
"153","Clostridium sp. CAG:352",0.0948972674745179,0.0216050265110478,0.00432032270179825,0,0
"154","Clostridium sp. CAG:413",0.100059198810047,0.159239715721105,0.0535097968107054,0,0.013004528006499
"155","Clostridium sp. CAG:448",0.0548676139291136,0.28918057647237,0.0735323698621034,0.113306509143875,0
"156","Clostridium sp. CAG:451",0.222145936187164,0.189921440506697,0.230610819684086,0.32648505188963,0
"157","Clostridium sp. CAG:465",0.0997249191629748,0.0262133452464924,0.0499620781942399,0.237303481359081,0.675137497115291
"158","Clostridium sp. CAG:505",0.118556346544093,0.232999986682661,0.129212099342866,0.0037541515460811,0.18086193145783
"159","Clostridium sp. CAG:568",0.184653351832958,0.162539931997854,0.0988885704134914,0.0536469625710178,0.149087752329469
"160","Clostridium sp. CAG:58",0.0120310763252732,0.0808225891529115,0.0229988991942357,0.00901297937931434,0
"161","Clostridium sp. CAG:590",0.066377013940336,0,0.114258683142782,0.0883751146287412,0.0681586968350199
"162","Clostridium sp. CAG:594",0.151434362832397,0.0524204469768779,0.112866583249402,0,0
"163","Clostridium sp. CAG:628",0.153101318461363,0.039062009491697,0.101771961317604,0,0
"164","Clostridium sp. CAG:632",0.127517006553628,0.091213726858082,0.140836423900481,0.0770293287012071,0.0501372476201965
"165","Clostridium sp. CAG:678",0.035359954541047,0.145582718287983,0.0555754906608465,0.519274020577912,0.561293782858617
"166","Clostridium sp. CAG:762",0.121944272956412,0.070994383294973,0.274011104218587,0,0
"167","Clostridium sp. CAG:768",0.199627698336757,0.0997915087892481,0.119943284257469,0.150392240945247,0.0601452004599669
"168","Clostridium sp. CAG:780",0.21909158449712,0.187814290487398,0.0218269285466416,0,0
"169","Clostridium sp. CAG:793",0.11809161146196,0.111314243194424,0.0622886359287935,0.202605885293906,0.463580341250401
"170","Clostridium sp. CAG:81",0.0532039869699605,0,0.0170464526594376,0,0.0149110093072405
"171","Clostridium sp. CAG:91",0,0,0.00527911651839817,0.0558704555394291,0
"172","Clostridium sp. CAG:964",0.00998594932833692,0.0103417113927058,0.0141044969376816,0.0594581608883772,0.0977836660414491
"173","Clostridium sp. CAG:967",0.0501265874900077,0.0409655355867327,0.255237196739384,0.0413416038505465,0.0512531903217289
"174","Collinsella sp. CAG:166",0.128842097533981,0.00665244659798638,0,0.0160495607504509,0.122800233743259
"175","Coprobacillus sp. CAG:605",0.109239062542047,0.0199978067748765,0.146822457229888,0,0
"176","Coprococcus sp. CAG:131",0.0104892145782339,0.0821747108190841,0,0.100031552503204,0.109515183030727
"177","Coraliomargarita sp. CAG:312",0.00433696923349518,0,0.0779230762613779,0.012638645857666,0.0247619822338724
"178","Cryptobacterium sp. CAG:338",0.113045089862405,0.0270714867580826,0.0172553584687651,0,0.0368798762599908
"179","Dialister sp. CAG:357",0.16133877321338,0.116020135633507,0.270105703754282,0.339683303413241,0.0469032463243704
"180","Dialister sp. CAG:486",0.100101179099567,0.0789546924218504,0.0652006214369428,0.0587410756565655,0.256096583775886
"181","Dialister sp. CAG:588",0.326222720761899,0.014033754522104,0.0239756508590724,0.0782669517334728,0
"182","Dorea sp. CAG:105",0.00999276905385079,0.0628594702329417,0.180278453776529,0.0562500562453457,0.0116892651332823
"183","Eggerthella sp. CAG:209",0.0212171196881067,0.0868422283892365,0,0.0641309852699808,0.0386125185456127
"184","Eggerthella sp. CAG:368",0.310426806076618,0.0691833315391838,0.216720164595093,0.415367486406555,0.027418053512035
"185","Eubacterium sp. CAG:115",0.0448095055148115,0.0837997606409364,0.0172873940943569,0,0.354531155882527
"186","Eubacterium sp. CAG:146",0.0664620929299574,0.0101972058970274,0.0566187695862824,0.00335572882768864,0.137801854281945
"187","Eubacterium sp. CAG:180",0,0.00283937394151497,0,0,0.177752091447156
"188","Eubacterium sp. CAG:192",0.0884109047170512,0.0169836144301204,0,0.0163907206294964,0.12973684416768
"189","Eubacterium sp. CAG:202",0.0227357512981293,0.0571260529002002,0,0.038562341707203,0.17062448982419
"190","Eubacterium sp. CAG:248",0,0.14160020072029,0.12201036872267,0.011690316886711,0
"191","Eubacterium sp. CAG:251",0.196225460527563,0.0163166205952222,0.0414900509940234,0.0902898729826397,0.242334885778469
"192","Eubacterium sp. CAG:252",0,0.266497134726099,0.0534828679532108,0.0714392805557737,0.194032372715566
"193","Eubacterium sp. CAG:581",0.0173057449787958,0.0497904504298513,0.070294104984638,0.0490008149271871,0.0542197835775952
"194","Eubacterium sp. CAG:603",0.0434249349162562,0.144562745335355,0.0292586382742497,0.0937922634475442,0.03717982229276
"195","Eubacterium sp. CAG:786",0.0745582474302474,0.0240168680889156,0.0592858295316586,0,0.431436910039027
"196","Eubacterium sp. CAG:841",0.0843032881014997,0.0212753203998325,0.141920242081998,0,0
"197","Faecalibacterium sp. CAG:1138",0.0243052537529487,0.19100863805315,0.198883933497366,0.0436764363664874,0
"198","Mycoplasma sp. CAG:877",0.0590190627206424,0.0386992000828827,0.0607541858341531,0.264278920737829,0
"199","Mycoplasma sp. CAG:956",0.0964425338329059,0.143414473541403,0.0121346585316218,0.162106203629229,0.406420400904094
"200","Odoribacter sp. CAG:788",0.328492732664479,0.129571397616928,0.0274335489333679,0.119501235025139,0.225771242393354
"201","Phascolarctobacterium sp. CAG:207",0.0955218987473135,0.0592225915238986,0.0417925423085009,0.0418195429214139,0.0510838030095404
"202","Phascolarctobacterium sp. CAG:266",0.0187435204258539,0.0887529270929284,0.114703031791627,0.0980005183593415,0.0267555569377397
"203","Porphyromonas sp. CAG:1061",0.279578571695198,0.187636119991651,0,0.115350357757708,0.28059605356085
"204","Prevotella sp. CAG:1058",0.089351674165189,0.218598759062395,0.0179583154325754,0.0376076567597983,0.0917742960031691
"205","Prevotella sp. CAG:1092",0.0827176921226388,0.0613050553618169,0,0.133874589639643,0
"206","Prevotella sp. CAG:1124",0.217737806707901,0.0693865780613577,0.0925479576650563,0.317824741643186,0.0999947896075487
"207","Prevotella sp. CAG:1185",0.0574903675423217,0.0714157715900175,0.0381117207510168,0.278680904791351,0.150199911874444
"208","Prevotella sp. CAG:1320",0.0831021256367128,0.0242741978663181,0.141065904079794,0.0323362230037725,0.0369461487525452
"209","Prevotella sp. CAG:255",0.120198963826339,0.064273505329606,0.0246597759108046,0.0305099000622839,0.210125424417934
"210","Prevotella sp. CAG:386",0.016034289246877,0.259713609561913,0,0.173572796766077,0.400177201803712
"211","Prevotella sp. CAG:487",0.111725305439186,0.0862924851727542,0.128756056673385,0.0728914374585611,0.0497811381381711
"212","Prevotella sp. CAG:520",0.0553781342300727,0.0872204244588798,0,0.147120014658437,0.225125237680157
"213","Prevotella sp. CAG:5226",0.0265612887048368,0.0113799142779532,0.183240677645624,0.0592281966651122,0.0398590351851869
"214","Prevotella sp. CAG:604",0.00871913636985714,0.209464310888561,0,0,0
"215","Prevotella sp. CAG:732",0.0922744371161175,0,0,0.184563738286642,0.470486721763728
"216","Prevotella sp. CAG:891",0,0.112095411605903,0,0.120840320764492,0
"217","Roseburia sp. CAG:309",0.0680584801607651,0.412965049275895,0,0.241393023159098,0.0837074509077279
"218","Roseburia sp. CAG:380",0.0734004689050063,0.152140067276057,0.0739156855113251,0.0334316917197228,0
"219","Ruminococcus sp. CAG:177",0.0264129214735868,0.0374330680016337,0,0.0570072089271681,0.0370651712373825
"220","Ruminococcus sp. CAG:254",0.103022149553213,0,0.0305523780296245,0.0153407222547595,0.139913515426786
"221","Ruminococcus sp. CAG:330",0.178466208134348,0.0446552632852552,0.0211424315596083,0.0648124475893515,0.181067302921786
"222","Ruminococcus sp. CAG:379",0.147371618926014,0.539224100968113,0.403469639144864,0.132577048211141,0
"223","Ruminococcus sp. CAG:382",0.0186551915117832,0.0282025197348287,0.0114107193588549,0.0907487755296337,0.0463832207389656
"224","Ruminococcus sp. CAG:403",0.279726427830453,0,0.0738753842708797,0.0454910433957465,0.209283454534597
"225","Ruminococcus sp. CAG:488",0.20051528244691,0.12007413939236,0.186385319617556,0.0584469672317903,0.0500847214227115
"226","Ruminococcus sp. CAG:563",0.614316946711802,0.126161773866585,0.0432317618292253,0,0.3324040009346
"227","Ruminococcus sp. CAG:60",0.0263065568250348,0.134486206870629,0.0404946041762491,0.0318574268770138,0.0788782073329201
"228","Ruminococcus sp. CAG:624",0.13451421235154,0.00981762311977667,0.0179396819375243,0.146190831822567,0.189182892788366
"229","Ruminococcus sp. CAG:724",0.206008105082904,0.00872180032443751,0.157824349917989,0.150335419158388,0.359790045146571
"230","Staphylococcus sp. CAG:324",0.11570529084624,0.124401082484679,0.128617410965622,0,0.205120627408197
"231","Subdoligranulum sp. CAG:314",0.0180219779427777,0.10282806731778,0.128749965026083,0,0.0840866339138891
"232","Sutterella sp. CAG:397",0.460862350189033,0.189523284598822,0.00884418355151594,0.186619516111222,0.288175899325259
"233","Sutterella sp. CAG:521",0.189321218546529,0.166796629152915,0.0738885416553074,0,0.310556029751281
"234","Veillonella sp. CAG:933",0.0424522834798724,0.0177409580082658,0.165617429940777,0.0150734241968921,0.0444603654215912
"235","Erysipelotrichaceae bacterium CAG:64",0.277586054834355,0.301445643857435,0.464587040547073,0.150907735708326,0.177094766790141
"236","Proteobacteria bacterium CAG:139",0.149093233861772,0.0211666657489706,0.19712595481919,0.127751871776258,0.10710899753414
"237","Proteobacteria bacterium CAG:495",0.139130722926762,0.0340810281714688,0.221963269776075,0,0
"238","Firmicutes bacterium CAG:94",0.370262894283822,0.0428166596387219,0.146497525967951,0,0.290466059207768
"239","Firmicutes bacterium CAG:884",0.0747006445109793,0.290400539160607,0.13184634060677,0,0.190571376051184
"240","Firmicutes bacterium CAG:882",0.260436153316654,0.243485598719058,0.0305055126016083,0.065586443831536,0.258225840297168
"241","Firmicutes bacterium CAG:83",0.25603358002083,0.0390882461618874,0.118191976801066,0.0168085578568515,0
"242","Firmicutes bacterium CAG:791",0.0721014816121628,0,0,0.139565808717527,0.186578532679424
"243","Firmicutes bacterium CAG:65",0.0261668700308603,0,0.0343019796542086,0.0133745813083282,0
"244","Firmicutes bacterium CAG:631",0.0293858601699858,0.122755448300828,0.279378867121896,0.14815898621231,0.130381483726937
"245","Firmicutes bacterium CAG:102",0.133885396693891,0.0224724387993442,0.00902002513292838,0.0509573529103675,0.360460483878162
"246","Firmicutes bacterium CAG:137",0.0278587424152759,0,0.464852224104756,0,0
"247","Firmicutes bacterium CAG:145",0.0436113444642003,0.119984660657879,0.051444321329349,0.041081022224406,0.239245544747787
"248","Firmicutes bacterium CAG:176",0.104768968291924,0.0664452511862317,0.134425134777578,0,0
"249","Firmicutes bacterium CAG:227",0.0465846005852981,0.0619509995333694,0.0220420193988161,0.0323666967394904,0.0626948981930464
"250","Firmicutes bacterium CAG:238",0.0956153465970082,0.247582201629972,0.0200357302939647,0.684316567812416,0.117418592553746
"251","Firmicutes bacterium CAG:24",0.0888364567295734,0.0635396544311012,0,0.0324058568981019,0.147360731763772
